Title,Year,Summary,Runtime,YouTube Trailer,Rating,Director,Writers,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Cast_1,Cast_2,Cast_3,Keywords,Keywords_str
Chronic,2015,david inhome nurse work terminally ill patient efficient dedicated profession david develops strong even intimate relationship person care outside work david ineffectual awkward reservedeffects chronic depressionand need patient much need long carried burden guilt remorse david must face past order heal                                                                                                ,93,ZcDYv0Zoke0,6.6,Michel Franco,Michel Franco,drama,,,,,david dastmalchian,elizabeth tulloch,tim roth,"['david', 'patient', 'need', 'remorse', 'chronic']",david patient need remorse chronic
Black Water,2018,deep cover operative awakens find imprisoned cia black site submarine                                                                                                                                                                                                                                                                                                                                           ,105,8jtnZbWzNbk,5.2,Pasha Patriki,Chad Law,action,drama,,,,dolph lundgren,jean-claude van damme,,"['submarine', 'awakens', 'site', 'imprisoned', 'cover']",submarine awakens site imprisoned cover
How to Talk to Girls at Parties,2017,john cameron mitchell director acclaimed film hedwig angry inch shortbus take u exotic unusual world suburban london late 70 spell sex pistol every teenager country want punk including hopeless hero enn hearing local punk queen boadicea throwing party enn crash fun discovers every horny boy dream gorgeous foreign exchange student meet enigmatic zan lust first sight girl come lot america fact alien,102,nWzHaRM8jeo,5.9,John Cameron Mitchell,Philippa Goslett,comedy,music,romance,sci-fi,,nicole kidman,ruth wilson,,"['punk', 'every', 'zan', 'mitchell', 'hopeless']",punk every zan mitchell hopeless
The Strangers: Prey at Night,2018,family road trip take dangerous turn arrive secluded mobile home park stay relative find mysteriously deserted cover darkness three masked psychopath pay visit test family every limit struggle survive                                                                                                                                                                                                        ,85,91-Z20uttEk,5.4,Johannes Roberts,Bryan Bertino,horror,,,,,bailee madison,christina hendricks,martin henderson,"['mobile', 'psychopath', 'deserted', 'masked', 'secluded']",mobile psychopath deserted masked secluded
Time Changer,2002,bible professor 1890 come forward time present via time machine cannot believe thing see                                                                                                                                                                                                                                                                                                                        ,95,OzdeLDeU9w0,5.5,Rich Christiano,Rich Christiano,drama,fantasy,sci-fi,,,d. david morin,gavin macleod,hal linden,"['bible', '1890', 'forward', 'via', 'time']",bible 1890 forward via time
1 Night,2016,bea worrisome teenager reconnects introverted childhood friend andy two overcome difference social status one night high school prom thirtysomething elizabeth must decide whether salvage relationship drew much personal disappointment past present collide two couple explore love course one night hotel                                                                                                   ,80,b9aAIY8zMpg,5.8,Minhal Baig,Minhal Baig,drama,romance,,,,anna camp,isabelle fuhrman,justin chatwin,"['bea', 'salvage', 'introverted', 'night', 'drew']",bea salvage introverted night drew
Nowhereland,2016,born seedy underground world prostitution 15yearold shara known life mother aging career escort looking shara make kind money made youth dramatic encounter mom exboyfriend shara find alone street los angeles struggling survive turn option belief                                                                                                                                                           ,95,9zd2VC11tt4,6.8,Robin Bain,Robin Bain,drama,,,,,ginny jones,jessica taylor haid,robin bain,"['shara', '15yearold', 'prostitution', 'escort', 'exboyfriend']",shara 15yearold prostitution escort exboyfriend
Gone Tomorrow,2015,five year taking fall younger brother tormented excon flees parole find kidnapped baby niece one step ahead police one behind unraveling criminal syndicate must sacrifice everything name family                                                                                                                                                                                                               ,90,LYc-IFnnVJ4,5.1,Jordan Brown,Jordan Brown,crime,drama,mystery,thriller,,chad connell,christopher russell,scott gibson,"['parole', 'unraveling', 'syndicate', 'tormented', 'niece']",parole unraveling syndicate tormented niece
Beauty & the Briefcase,2010,lane looking magic man man attribute checklist meantime finally hears calling job opportunity present form cosmo magazine failing impress editor head office begin talking men lane hillary duff idea combine dating work place causing blackout job interview land job office begin undercover work dating several coworkers happens spill drink magic man candidate liam however bos isnt impress direction tr,0,1A5lb6FNgns,5.5,Gil Junger,Michael Horowitz,comedy,romance,,,,chris carmack,hilary duff,michael mcmillian,"['impress', 'lane', 'dating', 'job', 'office']",impress lane dating job office
Sacrifice,2010,sacrifice orphan zhao family save child zhao family whose whole clan massacred hand nefarious minister doctor sacrifice son later becomes intent seeking vengeance minister child grows generation zhao family wielded power even extending king wellplanned coup mortal enemy tuan gu wang xue qi slaughter entire clan determined wipe influence forever however solitary zhao baby survives massacre hidden t,122,R_zBUOfknWk,6.2,Kaige Chen,Ningyu Zhao,drama,history,,,,xiaoming huang,xueqi wang,you ge,"['zhao', 'clan', 'sacrifice', 'minister', 'family']",zhao clan sacrifice minister family
Child Eater,2016,simple night babysitting take horrifying turn helen realizes boogeyman really little lucas closet                                                                                                                                                                                                                                                                                                               ,82,NflGKH6ohps,5.1,Erlingur Thoroddsen,Erlingur Thoroddsen,horror,,,,,cait bliss,colin critchley,jason martin,"['boogeyman', 'babysitting', 'closet', 'helen', 'lucas']",boogeyman babysitting closet helen lucas
Until Forever,2016,forever michael boyum story powerful true account one young man courageous battle leukemia journey faith                                                                                                                                                                                                                                                                                                        ,100,HRGqyqsKrWM,6.3,Michael Linn,Michael Linn,drama,romance,,,,jamie anderson,madison lawlor,stephen anthony bailey,"['leukemia', 'courageous', 'account', 'faith', 'forever']",leukemia courageous account faith forever
"Paul, Apostle of Christ",2018,rom 67 ad great fire burnt great part city emperor nero point paul jesus apostle guilty fire arresting taking mamertine prison prefect mauritius struggle daughter caelia suffers unknown disease job warden prison commanded nero considers failure military carrier despite risk christian physician medicine man luke arrives rom greek island find paul living house aquila priscilla two former roman turne,108,LyOqQZUDdO4,6.8,Andrew Hyatt,Terence Berden,drama,history,,,,james faulkner,jim caviezel,olivier martinez,"['rom', 'nero', 'fire', 'paul', 'great']",rom nero fire paul great
Flower,2017,sexually curious teen form unorthodox kinship mentally unstable stepbrother                                                                                                                                                                                                                                                                                                                                     ,90,up8Chk8J4I4,5.8,Max Winkler,Alex McAulay,comedy,drama,,,,kathryn hahn,zoey deutch,,"['kinship', 'stepbrother', 'unorthodox', 'mentally', 'curious']",kinship stepbrother unorthodox mentally curious
Midnight Sun,2018,based japanese film midnight sun center katie 17yearold sheltered since childhood confined house day rare disease make even smallest amount sunlight deadly fate intervenes meet charlie embark summer romance                                                                                                                                                                                                  ,91,WS-kCiCVEp0,6.4,Scott Speer,Kenji Bando,drama,romance,,,,bella thorne,patrick schwarzenegger,rob riggle,"['sunlight', 'smallest', 'sheltered', '17yearold', 'confined']",sunlight smallest sheltered 17yearold confined
Euphoria,2017,sister conflict travelling europe toward mystery destination                                                                                                                                                                                                                                                                                                                                                    ,104,VEI0R4L72qI,6.0,Lisa Langseth,Lisa Langseth,adventure,drama,,,,alicia vikander,charlotte rampling,eva green,"['travelling', 'destination', 'toward', 'conflict', 'europe']",travelling destination toward conflict europe
Nobody Knows,2004,tokyo reckless single mother keiko move small apartment twelve year old son akira fukushima hidden luggage sibling shigeru yuki kyoko another sibling arrives later train child different father schooling happy life mother keiko find new boyfriend leaf child alone giving money akira assigning take care sibling money run akira manages find mean survive youngster without power supply gas water home la,141,mMP0KDKLwxw,8.1,Hirokazu Koreeda,Hirokazu Koreeda,drama,,,,,ayu kitaura,hiei kimura,yûya yagira,"['akira', 'sibling', 'keiko', 'money', 'yuki']",akira sibling keiko money yuki
What Goes Up,2009,make hero january 1986 campbell babbitt reporter new york world writing series woman turned grief losing son civic act fall love commits suicide continues write madeup story editor sends new hampshire cover challenger flight town teacher christa mcauliffe launch postponed day giving campbell time get know group misfit student whose teacher killed day campbell arrives town piece story together led ,104,Kyyjv-oRu0g,5.7,Jonathan Glatzer,Jonathan Glatzer,drama,,,,,hilary duff,olivia thirlby,steve coogan,"['campbell', 'teacher', 'madeup', 'town', 'january']",campbell teacher madeup town january
The Substance: Albert Hofmann's LSD,2011,1943 year first abomb built albert hofmann discovered lsd substance become abomb mind fraction milligram enough turn framework time space upside story drug discovery basel chemistry lab first experiment albert hofmann 1950s experiment psychiatrist consciousness researcher artist could actually possible find path core human existence mean chemical spirituality flick switch enigmatic effect drug rea,90,SDK6JYs-b-4,7.1,Martin Witz,Martin Witz,biography,documentary,history,,,hanspeter müller,mario scarabelli,trevor j. roling,"['abomb', 'albert', 'experiment', 'drug', 'chemistry']",abomb albert experiment drug chemistry
Every Day,2018,based david levithans acclaimed new york time bestseller every day tell story rhiannon angourie rice 16year old girl fall love mysterious soul named inhabits different body every day feeling unmatched connection rhiannon work day find knowing next day bring two fall love reality loving someone different person every 24 hour take toll leaving rhiannon face hardest decision either ever make         ,97,tqoAMfe_rPM,6.2,Michael Sucsy,Jesse Andrews,drama,fantasy,romance,,,angourie rice,debby ryan,justice smith,"['rhiannon', 'day', 'every', 'different', 'fall']",rhiannon day every different fall
The Silent Storm,2014,enigmatic outsider living remote scottish island find caught minister husband delinquent sent live                                                                                                                                                                                                                                                                                                              ,102,V3MfLl8-XV4,5.1,Corinna McFarlane,Corinna McFarlane,drama,romance,,,,andrea riseborough,damian lewis,ross anderson,"['delinquent', 'scottish', 'outsider', 'enigmatic', 'minister']",delinquent scottish outsider enigmatic minister
The Swan Princess: A Royal Myztery,2018,mysterious z begin appearing mark everyone kingdom odette derek alise lucas friend work together find mean                                                                                                                                                                                                                                                                                                      ,79,0poqRwERmaI,5.2,Richard Rich,Brian Nissen,adventure,animation,comedy,family,musical,grant durazzo,kellen goff,,"['appearing', 'derek', 'lucas', 'kingdom', 'mark']",appearing derek lucas kingdom mark
Two Steps from Hope,2017,tragedy strike teen struggle keep perfect family falling apart                                                                                                                                                                                                                                                                                                                                                  ,83,Y11O38r2Rrk,6.0,George A. Johnson,Abby Boolman,drama,,,,,sharon nelson,tara brandenberger,,"['falling', 'tragedy', 'strike', 'apart', 'teen']",falling tragedy strike apart teen
Undeserved,2016,dawn ready finish high school neglectful partyloving mother tragically killed forcing dawn go live aunt jamie copastors church husband willem long stay thing go terribly wrong dawn run away dawn aunt jamie realizes home safe thought embarks courageous search dawn                                                                                                                                         ,0,rEZ0u0WolIg,6.1,Marc Steele,Marc Steele,drama,,,,,mari ane anderson,mason treviño brown,robert blanche,"['dawn', 'jamie', 'aunt', 'willem', 'courageous']",dawn jamie aunt willem courageous
Gnome Alone,2017,chloe discovers new home garden gnome seem must decide pursuit desired high school life taking fight troggs                                                                                                                                                                                                                                                                                                     ,85,p3BELH52IBI,5.8,Peter Lepeniotis,Robert Moreland,animation,comedy,fantasy,,,becky g,josh peck,,"['chloe', 'garden', 'pursuit', 'seem', 'taking']",chloe garden pursuit seem taking
Chapter & Verse,2017,upon return serving tenyear sentence prison reformed gang leader lance ingram struggle adapt changed harlem unable use technological skill acquired jail lance forced accept position delivering meal local food bank befriends m maddy 75 past beauty irreverent hardened shell delivers dinner lance find hope relearning joy life living despite outwardly bedeviled society find                            ,97,zbamMqGK1-s,6.7,Jamal Joseph,Jamal Joseph,drama,,,,,daniel beaty,loretta devine,omari hardwick,"['lance', '75', 'delivers', 'reformed', 'acquired']",lance 75 delivers reformed acquired
"War Eagle, Arkansas",2007,coming age ozark town enoch high school senior stutter one friend wheel kid cp who wheelchair think college tennessee baseball scholarship he philosophical love poetry life mom grandfather life get complicated find attracted abby one popular girl start hanging even though want wheel along part help finish sentence cause friction two friend give enoch pause whether leave town make something figure ,0,v7xxDhfutAU,6.7,Robert Milazzo,Graham Gordy,drama,,,,,brian dennehy,mare winningham,mary kay place,"['enoch', 'wheel', 'pause', 'town', 'philosophical']",enoch wheel pause town philosophical
The Mercy,2018,incredible story donald crowhurst amateur sailor competed 1968 sunday time golden globe race hope becoming first person history singlehandedly circumnavigate globe without stopping unfinished boat business house line donald leaf wife clare child behind hesitantly embarking adventure boat teignmouth electron story crowhursts dangerous solo voyage struggle confronted epic journey family awaited retu,112,ToN2G3K5pOE,6.0,James Marsh,Scott Z. Burns,adventure,biography,drama,,,colin firth,david thewlis,rachel weisz,"['donald', 'boat', 'globe', 'retu', 'unfinished']",donald boat globe retu unfinished
Lawless Kingdom,2013,four detective emotionless iron hand life snatcher coldblood uniquely skilled individual superpower sent investigate murder outside city investigation unexpectedly stumble across clue unsolved murder 12 year previous hit close home one suddenly investigation becomes personal detective must put life line solve crime                                                                                    ,118,Udh7cFE6B30,5.9,Gordon Chan,Gordon Chan,action,adventure,,,,chao deng,yifei liu,,"['investigation', 'detective', 'murder', 'snatcher', 'unsolved']",investigation detective murder snatcher unsolved
Journey's End,2017,set dugout aisne 1918 story group british officer led mentally disintegrating young officer stanhope await fate                                                                                                                                                                                                                                                                                                 ,107,tLpyaLNfudY,6.7,Saul Dibb,Simon Reade,drama,war,,,,paul bettany,sam claflin,,"['officer', '1918', 'await', 'mentally', 'fate']",officer 1918 await mentally fate
I Can Only Imagine,2018,inspiring unknown true story behind mercymes beloved chart topping song brings ultimate hope many gripping reminder power true forgiveness                                                                                                                                                                                                                                                                      ,110,OsMyv9Q4_OU,7.4,Andrew Erwin,Jon Erwin,drama,family,music,,,j. michael finley,madeline carroll,,"['true', 'reminder', 'forgiveness', 'gripping', 'chart']",true reminder forgiveness gripping chart
The Child of the Sahara,2015,high school class french teenager moroccan origin loses parent car accident day later social service learn adopted natural parent aunt uncle live small village sahara decided join                                                                                                                                                                                                                             ,87,,6.7,Laurent Merlin,Laurent Merlin,drama,,,,,jean-claude aumont,lahbiba el basraoui,sarah bensoussan,"['parent', 'moroccan', 'adopted', 'aunt', 'natural']",parent moroccan adopted aunt natural
Seven Deadly Words,2013,egypt valley church fund touch community pastor evan bennett set change thing better there problem one family doesnt like change willing anything stop far go preserve status quo                                                                                                                                                                                                                               ,97,aUY4WHrONgs,6.0,Doc Benson,Doc Benson,drama,family,,,,mark a. ginther,roy lynam,shane willimon,"['change', 'quo', 'preserve', 'pastor', 'egypt']",change quo preserve pastor egypt
My Life in China,2014,america everyone family story immigration every family point somebody leave native country behind search better life hold onto identity adapt new life every family special story case chineseamerican story father would always tell u story walking 7 day 6 night swimming 4 hour macau escape communism 1966 story would fall deaf ear returned china                                                        ,81,XKP9UiWcawU,7.6,Kenneth Eng,Ehren Parks,biography,documentary,family,history,,yau king eng,,,"['story', 'family', 'every', 'would', 'immigration']",story family every would immigration
Mary Shelley,2017,forever remembered writer gave world frankenstein real life story mary shelleyand creation immortal monsteris nearly fantastical fiction raised renowned philosopher father stephen dillane 18thcentury london mary wollstonecraft godwin elle fanning teenage dreamer determined make mark world meet dashing brilliant poet percy shelley douglas booth begin torrid bohemian love affair marked passion perso,120,KhKpA7LQlUA,6.2,Haifaa Al-Mansour,Emma Jensen,biography,drama,romance,,,douglas booth,elle fanning,maisie williams,"['mary', 'philosopher', 'perso', 'dashing', 'remembered']",mary philosopher perso dashing remembered
Bad Genius,2017,lynn genius high school student make money cheating test receives new task lead set foot sydney australia order complete millionsbaht task lynn classmate finish international sticsat exam deliver answer back friend thailand exam take place home country                                                                                                                                                    ,130,CLdhN4oMxCQ,7.7,Nattawut Poonpiriya,Tanida Hantaweewatana,comedy,crime,drama,thriller,,chutimon chuengcharoensukying,eisaya hosuwan,,"['exam', 'lynn', 'task', 'sydney', 'cheating']",exam lynn task sydney cheating
Downrange,2017,stranded side road tire blowout group friend become target enigmatic sniper                                                                                                                                                                                                                                                                                                                                     ,90,9iYBzDwYYTM,5.4,Ryûhei Kitamura,Ryûhei Kitamura,horror,thriller,,,,kelly connaire,rod hernandez,stephanie pearson,"['blowout', 'tire', 'sniper', 'enigmatic', 'stranded']",blowout tire sniper enigmatic stranded
The Man Who Wasn't There,2001,1949 santa rosa california laconic chainsmoking barber fallen arch tell story man trying escape humdrum life tale suspected adultery blackmail foul play death sacramento city slicker racial slur invented war heroic shaved leg gamine piano player alien heisenberg uncertainty principle ed crane cut hair inlaws shop wife drink may affair bos big dave 10000 invest second department store ed get wind c,116,gz6xJ0knTT4,7.6,Joel Coen,Joel Coen,crime,drama,,,,billy bob thornton,frances mcdormand,michael badalucco,"['ed', 'crane', '1949', 'uncertainty', 'sacramento']",ed crane 1949 uncertainty sacramento
Ryûzô to 7 nin no kobun tachi,2015,ryuzo seven henchman 2015 story ryuzo seven henchman love derby race want last battle yakuza guy                                                                                                                                                                                                                                                                                                                ,125,zp2QeLGqtWs,5.6,Takeshi Kitano,Takeshi Kitano,action,comedy,,,,ben hiura,kôjun itô,tatsuya fuji,"['ryuzo', 'henchman', 'seven', '2015', 'yakuza']",ryuzo henchman seven 2015 yakuza
Notes from the Field,2018,shining light lost generation american youth anna deavere smith brings life story 18 reallife people among current former inmate protester educator politician                                                                                                                                                                                                                                                  ,90,A-k0OGWho9c,6.0,Kristi Zea,Anna Deavere Smith,drama,,,,,anna deavere smith,,,"['shining', 'reallife', 'smith', '18', 'politician']",shining reallife smith 18 politician
Freak Show,2017,vein clueless napoleon dynamite freak show tell moving heartwarming hilarious story billy bloom boldly confident wildly eccentric teenager face intolerance persecution ultra conservative high school decides fight back behalf misunderstood freak world running title homecoming queen                                                                                                                       ,91,drg74wOy8z8,6.3,Trudie Styler,Patrick J. Clifton,comedy,drama,,,,abigail breslin,annasophia robb,,"['freak', 'intolerance', 'persecution', 'homecoming', 'wildly']",freak intolerance persecution homecoming wildly
Unsane,2018,young woman involuntarily committed mental institution confronted greatest fearbut real product delusion                                                                                                                                                                                                                                                                                                        ,98,SyWnHdHrlrw,6.6,Steven Soderbergh,Jonathan Bernstein,horror,thriller,,,,claire foy,jay pharoah,joshua leonard,"['delusion', 'confronted', 'institution', 'product', 'committed']",delusion confronted institution product committed
"Love, Simon",2018,young comingofage tale teenage boy simon spier go different kind romeo juliet story simon love connection boy blue email problem simon idea he talking simon must discover boy iswho blue along way try find well                                                                                                                                                                                               ,110,E0cbWdlQg_8,7.9,Greg Berlanti,Elizabeth Berger,comedy,drama,romance,,,jennifer garner,nick robinson,,"['simon', 'boy', 'blue', 'romeo', 'email']",simon boy blue romeo email
The Last Witness,2018,young ambitious journalist risk love career ultimately life uncover true identity eastern european refugee connection british government collusion cover one stalin notorious crime                                                                                                                                                                                                                             ,97,eMmC6z4NMIc,5.3,Piotr Szkopiak,Paul Szambowski,history,thriller,,,,alex pettyfer,robert wieckiewicz,talulah riley,"['stalin', 'collusion', 'eastern', 'refugee', 'european']",stalin collusion eastern refugee european
Tomb Raider,2018,lara croft fiercely independent daughter eccentric adventurer vanished scarcely teen young woman 21 without real focus purpose lara navigates chaotic street trendy east london bike courier barely making rent take college course rarely making class determined forge path refuse take rein father global empire staunchly reject idea he truly gone advised face fact move forward seven year without even l,118,8ndhidEmUbI,6.5,Roar Uthaug,Geneva Robertson-Dworet,action,adventure,drama,fantasy,mystery,alicia vikander,dominic west,,"['lara', 'making', 'without', 'rein', 'courier']",lara making without rein courier
What If...,2010,15 year ago ben walker left girlfriend ministry calling business opportunity highpaying career trophy fiancé visited angel give glimpse life would look like followed calling                                                                                                                                                                                                                                   ,111,ckqoyetMNoI,6.6,Dallas Jenkins,Chuck Konzelman,drama,family,fantasy,romance,,kevin sorbo,kristy swanson,,"['calling', 'ministry', 'trophy', 'glimpse', 'walker']",calling ministry trophy glimpse walker
The Mountain II,2016,dag ii tell story clandestine special force squad call sign storm bringer following event first film bekir oguz unlikely best friend enrolled world famous perpetually grueling turkish special force training first mission begin six year later infiltrate barbarous area modern day iraq rescue mission                                                                                                      ,135,jpByS8cbcVA,9.5,Alper Caglar,Alper Caglar,drama,war,,,,bedii akin,murat arkin,ozan agaç,"['special', 'mission', 'force', 'turkish', 'perpetually']",special mission force turkish perpetually
Breaking the Limits,2017,based true story drug addict became triathlon champion winner ironman competition                                                                                                                                                                                                                                                                                                                               ,108,EHPszB0o24Q,7.5,Lukasz Palkowski,Agatha Dominik,biography,drama,sport,,,arkadiusz jakubik,jakub gierszal,,"['addict', 'winner', 'champion', 'competition', 'became']",addict winner champion competition became
Glossary of Broken Dreams,2018,puppet pixel anime live action stock footage lumpennerd johannes grenzfurthner give ideotaining cinematic revue important political concept everyone talking freedom privacy identity resistance market left yikes johannes cant tolerate ignorant topically abusive comment internet anymore supported writer ishan raval film johannes explains reevaluates sometimes sacrifice political golden calf discours,99,hFSigTAQTgI,7.3,Johannes Grenzfurthner,Johannes Grenzfurthner,animation,comedy,drama,history,music,charlie poulon,daniel hasibar,johannes grenzfurthner,"['johannes', 'political', 'tolerate', 'comment', 'anime']",johannes political tolerate comment anime
Guns N' Roses Appetite for Democracy 3D Live at Hard Rock Las Vegas,2014,november 2012 team hd camera rolling legendary multiplatinum selling rock band gun n rose took desert storm performing blistering set joint hard rock casino la vega clocking three hour band explosive set includes biggest hit classic gnr staple including paradise city welcome jungle november rain sweet child omine plus song critically acclaimed new album chinese democracy featuring albumtitled top ,164,ttG0NqbKzJc,7.8,Kerry Asmussen,Axl Rose,music,,,,,tommy stinson,,,"['november', 'rock', 'band', 'blistering', '2012']",november rock band blistering 2012
Ibiza,2018,young american woman two best friend seek hot dj spain                                                                                                                                                                                                                                                                                                                                                          ,94,Aw27eMJH3H4,5.1,Alex Richanbach,Lauryn Kahn,comedy,romance,,,,gillian jacobs,gwen elizabeth duchon,michaela watkins,"['dj', 'spain', 'hot', 'seek', 'american']",dj spain hot seek american
Summer 1993,2017,summer 1993 frida sixyearold little girl leaf barcelona grandparent countryside father mother died mysterious illness taken uncle esteve aunt marga frida discovers new environment old stone farmhouse mountainous area close dense forest new parent prove friendly another good point threeyear old daughter named anna become playmate another child le disturbed miserable uprooted frida would idyllic sta,97,0tZcRbyjqNU,7.2,Carla Simón,Carla Simón,drama,family,,,,bruna cusí,laia artigas,paula robles,"['frida', 'another', 'uprooted', 'threeyear', 'barcelona']",frida another uprooted threeyear barcelona
Godless Youth,2017,german student compete enter one country elite school                                                                                                                                                                                                                                                                                                                                                           ,114,,5.7,Alain Gsponer,Alex Buresch,crime,drama,sci-fi,thriller,,fahri yardim,jannis niewöhner,,"['compete', 'enter', 'german', 'elite', 'country']",compete enter german elite country
Berlin Falling,2017,frank offer andreas ride berlin courtesy certainly aware decision end violent road trip life death                                                                                                                                                                                                                                                                                                              ,91,VDwTdztuql0,6.5,Ken Duken,Ken Duken,thriller,,,,,marisa leonie bach,tom wlaschiha,,"['courtesy', 'andreas', 'certainly', 'berlin', 'aware']",courtesy andreas certainly berlin aware
What Lies Upstream,2017,classic detective story investigative filmmaker cullen hoback travel west virginia uncover truth behind massive chemical spill left 300000 people without drinking water month hoback discovers obscene collusion chemical corporation highest level government investigation spiral terrifying direction learn frightening truth lie upstream u                                                                ,85,saDtU_-H_xY,8.6,Cullen Hoback,Cullen Hoback,documentary,mystery,,,,dr. marc edwards,dr. mona hanna-attisha,dr. rahul gupta,"['chemical', 'truth', 'upstream', 'collusion', 'cullen']",chemical truth upstream collusion cullen
That's Not Me,2017,pollys dream making actor shattered twin sister catapult international stardom scrambling catch polly juggle woeful audition painfully awkward date underwhelming job local cinema                                                                                                                                                                                                                              ,85,2C-78QW3xq8,5.6,Gregory Erdstein,Gregory Erdstein,comedy,,,,,alice foulcher,isabel lucas,richard davies,"['catapult', 'painfully', 'juggle', 'stardom', 'polly']",catapult painfully juggle stardom polly
Darc,2018,bring global human trafficking ring interpol agent recruit help brutal criminal inside knowledge yakuza                                                                                                                                                                                                                                                                                                         ,97,zy0b9e40tK8,5.8,Julius R. Nasso,Tony Schiena,thriller,,,,,armand assante,kippei shîna,tony schiena,"['interpol', 'yakuza', 'trafficking', 'knowledge', 'ring']",interpol yakuza trafficking knowledge ring
The Cured,2017,disease turn people zombie cured onceinfected zombie discriminated society family cause social issue arise lead militant government interference                                                                                                                                                                                                                                                                ,95,_EbBaNqNqv4,5.4,David Freyne,David Freyne,drama,horror,sci-fi,,,ellen page,sam keeley,tom vaughan-lawlor,"['zombie', 'cured', 'militant', 'arise', 'issue']",zombie cured militant arise issue
Habit,2017,manchester present michael divide time job center pub chance meeting lee introduction uncle ian heavy night lash lead job working door northern quarter massage parlor witnessing violent death one punter michael experience blooddrenched flashback feel sucked twilight world doesnt understand irresistibly attractive eventually find go room cloud 9 michael life never                                   ,90,,5.3,Simeon Halligan,Simeon Halligan,horror,,,,,jessica barden,roxanne pallett,william ash,"['michael', 'blooddrenched', 'manchester', 'job', 'pub']",michael blooddrenched manchester job pub
The Assassin's Code,2018,rookie cleveland detective michael connelly desperate escape shadow late father detective convicted drug scandal within department michael boy million dollar worth drug stolen police custody detective case soon turn dead michael begs captain assignment chance prove investigation point toward crime network michael face pressure maintain status quo play catandmouse game power watchful eye ghostlike ,95,0flTKIzkS7Q,5.5,David A. Armstrong,Edward Lee Cornett,thriller,,,,,justin chatwin,mark thompson,peter stormare,"['michael', 'detective', 'drug', 'connelly', 'cleveland']",michael detective drug connelly cleveland
Stalingrad,2013,stalingrad become hell paradise worthy award reward managed get love defeated side street secret taken away movie tell story                                                                                                                                                                                                                                                                                    ,131,l5q8yiXK69I,5.6,Fedor Bondarchuk,Sergey Snezhkin,action,drama,war,,,mariya smolnikova,pyotr fyodorov,yanina studilina,"['reward', 'worthy', 'defeated', 'managed', 'paradise']",reward worthy defeated managed paradise
The Forgiven,2017,end apartheid archbishop desmond tutu meet brutal murderer seeking redemption                                                                                                                                                                                                                                                                                                                                   ,115,hIsQMp4o5j0,5.6,Roland Joffé,Michael Ashton,thriller,,,,,eric bana,forest whitaker,jeff gum,"['desmond', 'apartheid', 'redemption', 'murderer', 'seeking']",desmond apartheid redemption murderer seeking
Rocco,2016,rocco siffredi pornography mike tyson boxing mick jagger rocknroll living legend mother wanted priest blessing became hardcore performer devoting life one god desire rocco siffredi reveals even sometimes mean busting myth true story beginning career wife child ultimate revelation change life forever behindthescenes account porn world star theyve never seen noholdsbard portrait true giant          ,105,MJ9n0Mw2kPg,5.9,Thierry Demaizière,Rocco Siffredi,documentary,,,,,veronica avluv,,,"['rocco', 'true', 'blessing', 'jagger', 'behindthescenes']",rocco true blessing jagger behindthescenes
Us and Them,2017,angry frustrated working class danny aim kick start revolution turning table establishment deadly game chance                                                                                                                                                                                                                                                                                                   ,83,g8QN2lPLmuk,5.3,Joe Martin,Joe Martin,crime,drama,thriller,,,jack roth,sophie colquhoun,tim bentinck,"['aim', 'kick', 'establishment', 'table', 'angry']",aim kick establishment table angry
Park,2006,noon remote foothill park los angeles april commit suicide krysta dennis tryst car coworker ian wait dogshampooing van denniss wife peg best friend claire followed dennis plan guerrilla warfare four 20somethings office talking van april seek ians help lubricant hose lighter asks join claire peg trap lover denniss car heart heart nathan babar disclose meredith cheryl nudist meredith insists men gay,0,oKtdiVtG6UI,5.9,Kurt Voelker,Kurt Voelker,comedy,drama,,,,dagney kerr,tank,vincent riverside,"['denniss', 'peg', 'meredith', 'dennis', 'april']",denniss peg meredith dennis april
Last Days,2005,introspective artist blake buckling weight fame professional obligation mounting feeling isolation dwarfed towering tree blake slowly make way dense wood scramble embankment fresh spring undress short swim next morning return house elegant neglected stone mansion many people looking blakehis friend manager record label even private detectivebut want found haze final hour blake spend time avoids pe,97,EG1dt0I1wps,5.8,Gus Van Sant,Gus Van Sant,drama,music,,,,asia argento,lukas haas,michael pitt,"['blake', 'pe', 'haze', 'introspective', 'obligation']",blake pe haze introspective obligation
Thousand Yard Stare,2018,world war ii german force crush american battle kasserine pas lone sergeant roland rothach separated platoon north africa desert captured german soldier he forced face worst fear fear haunt long war end back home struggle flashback horror trauma experienced failing marriage emptiness isolation                                                                                                          ,91,14stxs44e4o,5.1,Aaron Kurmey,Ryan Hatt,war,,,,,adam munro,kirsten wendlandt,,"['german', 'fear', 'war', 'platoon', 'trauma']",german fear war platoon trauma
Freehold,2017,oily amoral estate agent preyed upon one victim quietly move flat unseen begin deliciously malicious campaign revenge two pigeon dark comedy sinister streak                                                                                                                                                                                                                                                    ,80,CBmkkf8uv3g,5.4,Dominic Bridges,Dominic Bridges,comedy,horror,thriller,,,javier botet,mandeep dhillon,michael mckell,"['deliciously', 'malicious', 'quietly', 'streak', 'unseen']",deliciously malicious quietly streak unseen
